[-0.01487277  0.00521214]
[-0.014871   0.0049007]
[-0.0149657  -0.01289151]
[-0.01488236  0.01636974]
[-0.01487516  0.02103908]
[-0.01487634 -0.00403149]
[-0.01489105  0.01098587]
[-0.01488415  0.00499406]
[-0.0149409  0.0047988]
[-0.01487872  0.01354028]
[-0.01489088 -0.01853942]
[-0.01486382  0.01513722]
[-0.01484236  0.04394259]
[-0.01487757  0.00906669]
[-0.01486644  0.00668593]
[-0.0148779  -0.02156743]
[-0.01488801  0.0098253 ]
[-0.01491248 -0.00676546]
[-0.01489821 -0.00875188]
[-0.01498192 -0.0054652 ]
[-0.01489516  0.0257956 ]
[-0.01489061 -0.00391911]
[-0.01507687 -0.02229997]
[-0.01484849  0.03311713]
[-0.01487979  0.00187568]
[-0.01489307 -0.0190564 ]
[-0.01494227 -0.01691766]
[-0.01486895  0.00722303]
[-0.01488503 -0.00254087]
[-0.01487854 -0.00498702]
[-0.01483552  0.05422572]
[-0.01489725  0.00384328]
[-0.01497176 -0.01232103]
[-0.01493803 -0.00409103]
[-0.014889  -0.0062372]
